user_pseudo_id,category,country,subscription_start,subscription_end,cohort_start,cohort_end,Difference,Weeks,Unique,w0,w1,w2,w3,w4,w5,w6
1099668.062471190,desktop,United States,2020-11-01,2020-11-02,2020-11-01,2020-11-08,1,w0,2020-11-01,97,94,92,90,85,80,72
1136556.022501230,mobile,Peru,2020-11-01,2020-11-03,2020-11-01,2020-11-08,1,w0,2020-11-08,88,86,83,79,74,70,
1271863.737160090,mobile,India,2020-11-01,2020-11-06,2020-11-01,2020-11-08,1,w0,2020-11-15,95,90,86,81,75,,
1014060.110019150,desktop,United States,2020-11-01,2020-11-09,2020-11-01,2020-11-15,2,w1,2020-11-22,116,109,100,87,,,
1828432.169242540,desktop,United States,2020-11-08,2020-11-09,2020-11-08,2020-11-15,1,w0,2020-11-29,92,87,80,,,,
1433392.619754160,desktop,United States,2020-11-08,2020-11-10,2020-11-08,2020-11-15,1,w0,2020-12-06,91,81,,,,,
1168515.231270370,mobile,United States,2020-11-01,2020-11-11,2020-11-01,2020-11-15,2,w1,2020-12-13,21,,,,,,
1595680.651661630,desktop,India,2020-11-15,2020-11-16,2020-11-15,2020-11-22,1,w0,,600,,,,,,
1550859.560500210,desktop,Canada,2020-11-01,2020-11-17,2020-11-01,2020-11-22,3,w2,,,,,,,,
2213964.417576680,desktop,United States,2020-11-15,2020-11-17,2020-11-15,2020-11-22,1,w0,,,,,,,,
1830871.779530430,mobile,United States,2020-11-08,2020-11-18,2020-11-08,2020-11-22,2,w1,Retention rate,,,,,,,
1329077.872496770,desktop,United States,2020-11-08,2020-11-18,2020-11-08,2020-11-22,2,w1,2020-11-01,,96.91,94.85,92.78,87.63,82.47,74.23
1240926.123099790,desktop,United States,2020-11-15,2020-11-18,2020-11-15,2020-11-22,1,w0,2020-11-08,,97.73,94.32,89.77,84.09,79.55,
1569222.722898440,mobile,Slovakia,2020-11-15,2020-11-19,2020-11-15,2020-11-22,1,w0,2020-11-15,,94.74,90.53,85.26,78.95,,
2312968.674597580,desktop,United Kingdom,2020-11-15,2020-11-20,2020-11-15,2020-11-22,1,w0,2020-11-22,,93.97,86.21,75.00,,,
1048273.385535540,desktop,United Kingdom,2020-11-01,2020-11-21,2020-11-01,2020-11-22,3,w2,2020-11-29,,94.57,86.96,,,,
2220756.167962000,desktop,United States,2020-11-08,2020-11-21,2020-11-08,2020-11-22,2,w1,2020-12-06,,89.01,,,,,
1766215.657616730,mobile,India,2020-11-08,2020-11-23,2020-11-08,2020-11-29,3,w2,2020-12-13,,,,,,,
2145702.334645590,mobile,United States,2020-11-08,2020-11-23,2020-11-08,2020-11-29,3,w2,,,,,,,,
1163883.992972680,desktop,India,2020-11-15,2020-11-23,2020-11-15,2020-11-29,2,w1,,,,,,,,
1814237.715241400,desktop,United States,2020-11-22,2020-11-23,2020-11-22,2020-11-29,1,w0,General retention rate,81,%,,,,,
1134387.565866160,mobile,United Kingdom,2020-11-01,2020-11-24,2020-11-01,2020-11-29,4,w3,Totally subscribers,600,,,,,,
1018077.607136160,desktop,United States,2020-11-15,2020-11-24,2020-11-15,2020-11-29,2,w1,Active subscribers,486,,,,,,
1498451.138260360,mobile,China,2020-11-22,2020-11-24,2020-11-22,2020-11-29,1,w0,,,,,,,,
1005694.583434840,desktop,India,2020-11-01,2020-11-25,2020-11-01,2020-11-29,4,w3,,,,,,,,
2310041.380862830,mobile,Austria,2020-11-08,2020-11-25,2020-11-08,2020-11-29,3,w2,Churn rate,19,%,,,,,
1013442.500038760,mobile,United States,2020-11-01,2020-11-26,2020-11-01,2020-11-29,4,w3,Totally subscribers,600,,,,,,
1709610.924836390,desktop,Turkey,2020-11-08,2020-11-26,2020-11-08,2020-11-29,3,w2,Lost subsribers,114,,,,,,
2330556.947460620,desktop,Indonesia,2020-11-22,2020-11-26,2020-11-22,2020-11-29,1,w0,,,,,,,,
1014271.474732060,desktop,United Kingdom,2020-11-01,2020-11-27,2020-11-01,2020-11-29,4,w3,,,,,,,,
2068420.335525700,mobile,Canada,2020-11-15,2020-11-27,2020-11-15,2020-11-29,2,w1,,,,,,,,
2300890.779170100,mobile,Belarus,2020-11-22,2020-11-27,2020-11-22,2020-11-29,1,w0,,,,,,,,
2211097.818660560,desktop,Belgium,2020-11-22,2020-11-27,2020-11-22,2020-11-29,1,w0,,,,,,,,
1019516.655722120,desktop,Canada,2020-11-01,2020-11-28,2020-11-01,2020-11-29,4,w3,,,,,,,,
1104932.402044790,desktop,Australia,2020-11-15,2020-11-28,2020-11-15,2020-11-29,2,w1,,,,,,,,
2193359.486621750,mobile,United States,2020-11-22,2020-11-28,2020-11-22,2020-11-29,1,w0,,,,,,,,
2490870.253205440,mobile,United States,2020-11-22,2020-11-28,2020-11-22,2020-11-29,1,w0,,,,,,,,
1456886.272159150,desktop,Brazil,2020-11-08,2020-11-30,2020-11-08,2020-12-06,4,w3,,,,,,,,
